#logging stats for session scenario_20220404_075635_215
#[Histogram log format version 1.0]
#[StartTime: 1649058995.908 (seconds since epoch), Mon Apr 04 07:56:35 GMT 2022]
#[TimeUnit: NANOSECONDS]
#Tag,Interval_Start,Interval_Length,count,min,p25,p50,p75,p90,p95,p98,p99,p999,p9999,max
Tag=cbaworkload_default_000.skipped-tokens,60.006,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.resultset-size,60.007,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.read_input,60.007,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.strides.servicetime,60.008,10.004,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.bind,60.009,10.006,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.execute,60.009,10.009,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result,60.01,10.010,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.result-success,60.01,10.014,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tries,60.011,10.016,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.cycles.servicetime,60.011,10.016,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.phases.servicetime,60.012,10.019,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--success,60.013,10.022,12001,221440,269055,279807,287231,290047,290815,291583,291839,291839,291839,61505535
Tag=cbaworkload_default_001.block2--insert-rampup--error,60.015,10.023,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--resultset-size,60.015,10.024,11998,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.tokenfiller,60.016,10.023,9237,1010688,1022975,1029631,1035775,1041919,1043455,1046015,1046527,1047039,1047039,6836223
Tag=cbaworkload_default_001.retry-delay,60.018,10.023,0,0,0,0,0,0,0,0,0,0,0,0
